Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons),Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2015,Sac,17.0,581426,4896801,1974180,188350.0,0.0,11.23
2015,Scott,82.0,5051235,75429524,11569714,36145854.0,0.0,15.11
2015,Shelby,14.0,505119,3982237,4455148,499687.0,0.0,10.18
2015,Sioux,35.0,3222774,11962246,17949303,681625.0,0.0,9.13
2015,Story,43.0,5556986,34314771,3609958,2879572.0,0.0,10.04
2015,Tama,17.0,761037,6050426,2974445,22039.0,0.0,9.05
2015,Taylor,8.0,182643,2078039,898347,0.0,0.0,9.84
2015,Union,12.0,717107,5462239,1248538,322052.0,0.0,9.8
2015,Van Buren,8.0,266087,2255603,1337827,246504.0,0.0,9.69
2015,Wapello,25.0,2063601,14509982,1754772,3518839.0,0.0,11.28
2015,Warren,28.0,2861203,23765762,1830807,1366201.0,0.0,9.93
2015,Washington,25.0,1539886,11143584,4926378,8198409.0,0.0,16.47
2015,Wayne,9.0,220610,2330464,1164503,580602.0,0.0,10.37
2015,Webster,36.0,1913719,16940095,4946739,198118.0,0.0,9.58
2015,Winnebago,20.0,691254,4949791,3569116,431951.0,0.0,10.68
2015,Winneshiek,16.0,1527291,7665624,5804970,128401.0,0.0,8.76
2015,Woodbury,52.0,7816509,39952209,10619035,15841847.0,0.0,12.97
2015,Worth,9.0,421048,5045846,415754,373829.0,0.0,10.3
2015,Wright,18.0,824964,4877698,2181604,23822.0,0.0,8.88
2016,Adair,11.0,1539644,7734739,3674613,478950.0,0.0,10.46
2016,Adams,19.0,1382114,6092862,5269089,647068.0,0.0,9.54
2016,Allamakee,14.0,463893,4814400,2330873,473958.0,0.0,8.93
2016,Audubon,6.0,202186,2280469,1811040,634023.0,0.0,10.62
2016,Benton,22.0,1236679,8786703,6608616,110807.0,0.0,9.58
2016,Black Hawk,64.0,9060944,46271506,7152729,15331809.0,0.0,12.24
2016,Boone,12.0,1342145,9958148,3180374,376125.0,0.0,9.2
2016,Bremer,17.0,2114712,10423151,2594216,887075.0,0.0,9.17
2016,Buchanan,16.0,1710098,8873820,13412979,693975.0,0.0,8.72
2016,Buena Vista,22.0,1221431,9870579,5255641,579977.0,0.0,10.47
2016,Butler,13.0,956835,5858925,1256941,138869.0,0.0,9.18
2016,Calhoun,16.0,401481,4690197,4239739,343760.0,0.0,11.36
2016,Carroll,25.0,1654381,10984365,10135985,470759.0,0.0,10.07
2016,Cass,14.0,868395,7189201,4018846,139484.0,0.0,9.44
2016,Cedar,18.0,1602067,9087086,4046705,11480989.0,0.0,23.77
2016,Cerro Gordo,34.0,5235046,29679367,4807094,16519353.0,0.0,15.38
2016,Cherokee,13.0,671202,5231699,1502262,712237.0,0.0,11.26
2016,Chickasaw,12.0,1397673,5979407,4828174,3368082.0,0.0,12.89
2016,Clarke,10.0,1472947,6667529,3800535,7352984.0,0.0,20.86
2016,Clay,24.0,1266357,7034539,3727454,433586.0,0.0,9.95
2016,Clayton,25.0,1581114,7292421,1483029,489933.0,0.0,9.09
2016,Clinton,24.0,2128811,19677151,8410350,2168761.0,0.0,10.67
2016,Crawford,11.0,748996,5083907,1774160,638839.0,0.0,9.87
2016,Dallas,37.0,6679298,37092867,9004841,4349358.0,0.0,10.06
2016,Davis,7.0,324980,2270609,1162786,718049.0,0.0,10.17
2016,Decatur,6.0,358989,2410992,322210,232634.0,0.0,9.99
2016,Delaware,13.0,1014744,6497660,1986620,262067.0,0.0,9.56
2016,Des Moines,21.0,3133770,14181875,2027388,27716.0,0.0,8.37
2016,Dickinson,22.0,1793327,7717353,1460668,25285.0,0.0,8.65
2016,Dubuque,63.0,13663854,85755064,15205863,20265147.0,0.0,10.18
2016,Emmet,8.0,492679,3525775,1127420,1016957.0,0.0,11.8
2016,Fayette,20.0,1845535,7022970,14785996,185886.0,0.0,8.37
2016,Floyd,15.0,1235580,6784642,3875719,1606578.0,0.0,10.47
2016,Franklin,11.0,476813,3580764,3030668,202938.0,0.0,10.1
2016,Fremont,8.0,373687,4656500,1098401,11276770.0,0.0,40.67
2016,Greene,11.0,320205,4414116,1688185,128092.0,0.0,9.6
2016,Grundy,14.0,798672,6621546,5542769,1720284.0,0.0,10.34
2016,Guthrie,13.0,602738,5130010,1340136,8298995.0,0.0,29.76
2016,Hamilton,20.0,1076294,8109532,4881357,2677371.0,0.0,13.38
2016,Hancock,11.0,540086,2837554,3686616,123744.0,0.0,8.62
2016,Hardin,22.0,816053,7721660,6640374,52967.0,0.0,9.12
2016,Harrison,19.0,876192,8074712,4843421,878214.0,0.0,9.98
2016,Henry,16.0,1137288,17753407,925977,10156299.0,0.0,16.66
2016,Howard,11.0,652857,3915069,2594627,967603.0,0.0,11.21
2016,Humboldt,15.0,766055,4280690,5108836,344164.0,0.0,9.85
2016,Ida,12.0,400159,3350486,2510967,0.0,0.0,10.59
2016,Iowa,90.0,5781755,30832709,19431252,10748098.0,0.0,12.45
2016,Jackson,14.0,1132828,6979356,4199171,550577.0,0.0,9.93
2016,Jasper,32.0,2109667,16619520,4888252,13253219.0,0.0,18.74
2016,Jefferson,16.0,952717,5371277,1703327,1119784.0,0.0,11.9
2016,Johnson,58.0,8272148,45701494,3094752,6476225.0,0.0,10.53
2016,Jones,11.0,1145664,7205546,1553435,1280013.0,0.0,9.24
2016,Keokuk,9.0,499023,3959770,1683848,725746.0,0.0,11.9
2016,Kossuth,16.0,924355,6562333,8633964,354680.0,0.0,9.88
2016,Lee,21.0,2077852,12490398,1597497,1619112.0,0.0,9.27
2016,Linn,90.0,14613519,85822617,18560086,5996964.0,0.0,10.09
2016,Louisa,9.0,561418,4605290,1169043,254678.0,0.0,9.95
2016,Lucas,8.0,408462,2662970,311869,2048483.0,0.0,13.27
2016,Lyon,12.0,942449,5748507,1898103,990308.0,0.0,10.59
2016,Madison,10.0,906381,7258538,6634634,1122143.0,0.0,10.75
2016,Mahaska,15.0,756986,9110945,2296337,1627614.0,0.0,10.55
2016,Marion,22.0,1741381,13258954,6044014,396801.0,0.0,10.36
2016,Marshall,25.0,2658499,14691059,4329669,1149207.0,0.0,8.84
2016,Mills,10.0,695349,5003670,2410842,148010.0,0.0,9.19
2016,Mitchell,10.0,627772,3390887,671091,170109.0,0.0,10.72
2016,Monona,12.0,852980,5329177,1549274,2245388.0,0.0,15.04
2016,Montgomery,16.0,1404914,5106459,3249788,529767.0,0.0,9.77
2016,Muscatine,19.0,2405183,12891582,1857756,300652.0,0.0,9.83
2016,OBrien,19.0,849490,5508349,2292102,263998.0,0.0,9.25
2016,Osceola,8.0,232318,2357126,2653192,19163.0,0.0,10.14
2016,Other,10.0,583445,4360541,619185,71899.0,0.0,9.45
2016,Page,7.0,566751,4940807,517497,73811.0,0.0,9.07
2016,Palo Alto,10.0,439559,4022822,3051720,130239.0,0.0,9.96
2016,Plymouth,18.0,2583928,10104033,16788142,1265514.0,0.0,8.9
2016,Pocahontas,10.0,421328,3484561,13712337,0.0,0.0,9.05
2016,Polk,189.0,35778729,195062462,36224573,44150831.0,0.0,11.98
2016,Pottawattamie,58.0,8020959,52506283,12497683,35741534.0,0.0,17.31
2016,Poweshiek,18.0,1506130,12393839,6029642,15808593.0,0.0,26.11
2016,Ringgold,7.0,169920,1419019,371453,543110.0,0.0,13.74
2016,Sac,16.0,598323,5146805,1274939,669327.0,0.0,12.47
2016,Scott,81.0,5763983,73050772,10779876,58475128.0,0.0,19.25
2016,Shelby,13.0,522926,4543151,3707386,182080.0,0.0,9.87
2016,Sioux,34.0,3177752,12645987,15523883,1417358.0,0.0,9.22
2016,Story,43.0,5263777,35466153,2734209,3149732.0,0.0,10.4
2016,Tama,16.0,676197,5763753,3230102,16017.0,0.0,9.05
2016,Taylor,6.0,211867,1803114,289082,522841.0,0.0,10.47
2016,Union,10.0,504893,4494664,803679,755407.0,0.0,10.74
2016,Van Buren,8.0,288246,2249833,769902,284935.0,0.0,9.72
2016,Wapello,29.0,2063474,14381080,2316461,3354751.0,0.0,11.88
2016,Warren,29.0,2873918,21957087,1789958,1722403.0,0.0,10.17
2016,Washington,21.0,1479783,9769155,2585990,8155025.0,0.0,17.13
2016,Wayne,9.0,460021,2225063,1323951,619894.0,0.0,9.51
2016,Webster,34.0,1668432,15688045,3090555,625979.0,0.0,9.95
2016,Winnebago,15.0,580027,4142445,2627373,370812.0,0.0,10.85
2016,Winneshiek,15.0,1460562,7565494,2083066,528362.0,0.0,9.51
2016,Woodbury,44.0,7563056,40652284,11009038,17283779.0,0.0,13.43
2016,Worth,10.0,442846,4920045,1124681,468387.0,0.0,10.23
2016,Wright,17.0,719337,4992396,1999572,82160.0,0.0,9.12
2017,Adair,11.0,1597261,7560455,3891118,884478.0,0.0,11.27
2017,Allamakee,16.0,1224477,5730526,1252530,1290584.0,0.0,10.5
2017,Appanoose,9.0,416275,4152249,1768101,516483.0,0.0,10.13
2017,Audubon,6.0,190108,2321556,1691741,743772.0,0.0,11.89
2017,Benton,15.0,1072150,5645246,5688164,200882.0,0.0,8.7
2017,Black Hawk,70.0,9128157,49211111,3892882,16084143.0,0.0,12.92
2017,Boone,14.0,1197445,9011630,2097117,269320.0,0.0,9.16
2017,Bremer,15.0,2133737,10317685,1650648,1794874.0,0.0,11.39
2017,Buchanan,15.0,1763217,8317572,13785643,495907.0,0.0,9.0
2017,Buena Vista,19.0,1001238,8268387,3036756,397274.0,0.0,10.26
2017,Butler,12.0,814251,5320937,1215644,1370211.0,0.0,10.77
2017,Calhoun,14.0,348096,4585895,932601,3269997.0,0.0,17.68
2017,Carroll,24.0,1633263,8648839,11561431,669123.0,0.0,10.49
2017,Cass,16.0,868673,7629513,4326076,1218245.0,0.0,10.61
2017,Cedar,16.0,1465594,9155418,4122219,10345423.0,0.0,24.79
2017,Cerro Gordo,26.0,4277734,28305089,1831527,18750110.0,0.0,18.67
2017,Cherokee,12.0,643101,4205263,2340271,453179.0,0.0,10.63
2017,Chickasaw,13.0,1340719,5987751,4167572,4307513.0,0.0,15.3
2017,Clarke,8.0,1174040,6202129,2586068,7181931.0,0.0,23.85
2017,Clay,18.0,698364,4974811,2910519,460112.0,0.0,10.49
2017,Clayton,20.0,1301737,6672155,614854,1396826.0,0.0,12.38
2017,Clinton,26.0,1830593,19611300,5654765,3212277.0,0.0,12.55
2017,Crawford,12.0,852247,5084633,2097682,457913.0,0.0,9.73
2017,Dallas,35.0,5508373,37109989,3169125,2113999.0,0.0,10.41
2017,Delaware,9.0,1030780,5775175,1354327,932536.0,0.0,10.68
2017,Des Moines,19.0,1334915,13858915,1755575,57563.0,0.0,9.85
2017,Dickinson,21.0,2023647,7722396,1099543,65830.0,0.0,8.34
2017,Dubuque,48.0,11311257,74337396,16809583,14422733.0,0.0,10.13
2017,Emmet,9.0,353184,2995003,645043,0.0,0.0,9.33
2017,Fayette,21.0,994336,6372528,2843635,340565.0,0.0,9.21
2017,Floyd,14.0,889448,7783698,3126878,7873656.0,0.0,21.57
2017,Franklin,11.0,395611,3886900,3133706,735175.0,0.0,12.1
2017,Fremont,9.0,621548,7439288,1203249,16884463.0,0.0,41.59
2017,Greene,10.0,273418,3826524,1173423,130742.0,0.0,9.99
2017,Grundy,14.0,610351,6586875,5532817,2614707.0,0.0,11.66
2017,Guthrie,12.0,598452,5266879,889577,7768626.0,0.0,30.3
2017,Hamilton,17.0,782895,8781872,2678916,9393014.0,0.0,24.19
2017,Hancock,11.0,442187,3185379,4100887,93014.0,0.0,8.94
2017,Hardin,25.0,743541,7734718,6220238,282264.0,0.0,9.88
2017,Harrison,18.0,1134050,8295052,4771353,1159901.0,0.0,11.12
2017,Henry,14.0,949402,15244696,1761328,7938221.0,0.0,16.64
2017,Howard,9.0,699857,3522422,2240970,1306937.0,0.0,13.0
2017,Humboldt,13.0,544065,3762814,5193584,239745.0,0.0,9.83
2017,Ida,12.0,394967,2672989,2700574,0.0,0.0,12.32
2017,Iowa,138.0,9277052,50093059,43022172,18326107.0,0.0,12.04
2017,Jackson,16.0,1161029,7468485,3136415,1951928.0,0.0,13.41
2017,Jasper,26.0,1927123,16233833,4085014,14576861.0,0.0,21.61
2017,Jefferson,16.0,864325,5450545,1641095,1300292.0,0.0,12.36
2017,Johnson,51.0,6813180,45519191,2025147,2926132.0,0.0,10.7
2017,Jones,10.0,997967,6917516,2595609,1049651.0,0.0,9.75
2017,Keokuk,10.0,459328,4044062,1697542,701076.0,0.0,11.98
2017,Kossuth,15.0,840651,6562558,10431907,592571.0,0.0,10.58
2017,Lee,22.0,1789463,12613639,1537916,1297850.0,0.0,9.29
2017,Linn,85.0,13475886,83850111,12996345,9523034.0,0.0,11.0
2017,Louisa,9.0,574365,4528297,1298296,306963.0,0.0,10.07
2017,Lucas,7.0,398337,2519183,221095,2152112.0,0.0,13.85
2017,Lyon,10.0,652088,3877193,2265507,561912.0,0.0,10.59
2017,Madison,12.0,889024,8336852,5717687,1598389.0,0.0,12.76
2017,Mahaska,17.0,833347,10124257,2021572,1374209.0,0.0,10.41
2017,Marion,25.0,1762490,13064191,6146605,244648.0,0.0,10.43
2017,Marshall,21.0,2505061,12377867,2356778,1096729.0,0.0,9.12
2017,Mills,9.0,622829,5090043,1586642,158446.0,0.0,9.33
2017,Mitchell,10.0,618300,3429288,834664,150304.0,0.0,10.92
2017,Monona,11.0,740799,5384517,1675491,2622342.0,0.0,17.72
2017,Montgomery,8.0,575742,3425792,925132,758164.0,0.0,11.09
2017,Muscatine,20.0,1906629,15196433,3864949,393386.0,0.0,10.36
2017,OBrien,14.0,681412,5525936,2964955,188785.0,0.0,9.76
2017,Osceola,7.0,243533,2413904,2716799,15396.0,0.0,10.35
2017,Other,16.0,1154145,8330458,1563025,1256375.0,0.0,10.2
2017,Page,7.0,552277,4898747,562766,72172.0,0.0,9.09
2017,Palo Alto,8.0,350248,3625598,2100640,96047.0,0.0,10.37
2017,Plymouth,18.0,1996077,8727139,10236326,1309916.0,0.0,9.38
2017,Pocahontas,8.0,224814,2228442,437586,0.0,0.0,9.4
2017,Polk,180.0,32404264,193991854,30581285,44982291.0,0.0,13.16
2017,Pottawattamie,64.0,8802962,59289688,11530864,60519089.0,0.0,21.7
2017,Poweshiek,19.0,1392103,12621773,1847310,21490833.0,0.0,33.96
2017,Ringgold,7.0,171529,1574618,634889,1679226.0,0.0,17.04
2017,Sac,14.0,595252,4824022,1621768,892477.0,0.0,11.56
2017,Scott,76.0,5983064,74463682,8251309,46656395.0,0.0,18.08
2017,Shelby,12.0,497451,4434840,3496473,242919.0,0.0,10.32
2017,Sioux,28.0,2440923,9815402,12692808,1316262.0,0.0,9.31
2017,Story,40.0,4565511,36522960,3554768,2830988.0,0.0,13.14
2017,Tama,18.0,855503,7967743,3583213,97098.0,0.0,9.9
2017,Taylor,7.0,257050,1925695,764808,233939.0,0.0,10.66
2017,Union,11.0,520286,5030418,717865,736224.0,0.0,10.57
2017,Van Buren,6.0,191950,1749393,353250,280601.0,0.0,10.11
2017,Wapello,24.0,1843524,14539306,898914,3494778.0,0.0,12.53
2017,Warren,28.0,2760969,20881611,2597570,1544794.0,0.0,10.33
2017,Washington,17.0,1168078,8477363,3236526,7177276.0,0.0,16.1
2017,Wayne,6.0,205594,1831731,321759,697438.0,0.0,10.79
2017,Webster,34.0,1791354,17713615,3328802,1552030.0,0.0,11.3
2017,Winnebago,13.0,465666,3662008,1999605,416033.0,0.0,11.6
2017,Winneshiek,19.0,1439429,8596881,8330008,1260672.0,0.0,11.46
2017,Woodbury,47.0,6427035,40439704,11363106,18974070.0,0.0,15.33
2017,Worth,9.0,359316,4171869,720387,1073248.0,0.0,13.83
2017,Wright,16.0,745381,4856305,2107603,167077.0,0.0,9.31
2018,Adair,16.0,1577678,8095649,2691406,3899475.0,1371227.0,14.18
2018,Allamakee,16.0,1026861,5204653,2495267,1028528.0,683549.0,10.97
2018,Appanoose,13.0,508459,4675725,2130451,490763.0,526743.0,10.16
2018,Audubon,6.0,179302,2012770,2094837,337214.0,262556.0,11.98
2018,Benton,21.0,1682402,8398231,3751101,2040621.0,1115754.0,11.07
2018,Black Hawk,64.0,8380984,47373559,5950034,14337434.0,7465003.0,13.39
2018,Boone,11.0,1077028,8282330,3167410,546495.0,883494.0,9.44
2018,Bremer,15.0,2158858,9594852,1556083,1733809.0,1346934.0,11.46
2018,Buchanan,13.0,1416813,7560312,4177735,1643505.0,969983.0,10.81
2018,Buena Vista,26.0,1068712,8868390,3735178,451722.0,1063036.0,10.7
2018,Butler,14.0,917569,5722562,1053822,1470426.0,739146.0,11.13
2018,Calhoun,14.0,351885,4656692,1453065,3443652.0,926409.0,18.5
2018,Carroll,29.0,1537438,8631492,11231372,297070.0,1042567.0,10.25
2018,Cass,15.0,853632,7340243,5013563,644364.0,892277.0,10.89
2018,Cedar,16.0,1366610,9376042,5383370,10682734.0,2284580.0,21.27
2018,Cerro Gordo,25.0,4090648,27221857,3944758,16413857.0,5284249.0,16.88
2018,Cherokee,16.0,676449,4326269,3541826,488722.0,536146.0,10.72
2018,Chickasaw,13.0,1388944,6039272,5763110,3830771.0,1101995.0,14.84
2018,Clarke,9.0,1220210,6431950,1521992,8191873.0,1917562.0,25.06
2018,Clay,23.0,994757,5568870,3276629,698674.0,700469.0,10.67
2018,Clayton,22.0,1281085,7158813,856828,1345756.0,1073731.0,12.72
2018,Clinton,27.0,1846689,20905722,5575234,3237818.0,2840937.0,12.49
2018,Crawford,11.0,768377,4857757,2135814,340144.0,561641.0,9.98
2018,Dallas,39.0,6580128,37879579,6136243,4321056.0,4669910.0,10.5
2018,Decatur,6.0,532276,2572677,322362,290248.0,317889.0,10.24
2018,Delaware,16.0,1421016,5915316,5091474,708241.0,745360.0,10.16
2018,Des Moines,16.0,1175933,11703020,1040450,103313.0,1308426.0,10.16
2018,Dickinson,24.0,2280941,7908105,1787924,151637.0,872673.0,8.56
2018,Dubuque,57.0,11751430,73445453,7821968,22839883.0,9405429.0,11.04
2018,Emmet,8.0,361494,3117223,318345,88472.0,332853.0,9.57
2018,Fayette,13.0,866509,5059688,787162,452321.0,556477.0,9.39
2018,Floyd,13.0,696203,7442404,2852773,8855177.0,1970250.0,24.21
2018,Franklin,14.0,436844,4348548,4513298,880054.0,658884.0,13.77
2018,Fremont,6.0,241261,4359430,1249049,10157498.0,1901549.0,41.33
2018,Greene,11.0,230588,3493259,853719,1077010.0,486918.0,13.08
2018,Grundy,12.0,539724,5298453,4972975,2979724.0,725569.0,12.43
2018,Guthrie,12.0,388988,5122054,904536,7427999.0,1722780.0,31.26
2018,Hamilton,15.0,699185,8384126,3588102,10949044.0,2111938.0,23.25
2018,Hancock,14.0,932017,5022567,5270668,598382.0,594025.0,9.98
2018,Hardin,24.0,723338,7757629,5713557,1070766.0,1034351.0,12.2
2018,Harrison,15.0,957202,7452017,2940702,3480072.0,1139342.0,13.55
2018,Henry,11.0,855214,9068265,2085780,6027017.0,1899505.0,19.14
2018,Howard,8.0,739917,3413514,2156151,1224716.0,497434.0,11.98
2018,Humboldt,12.0,649212,4734929,3803183,554295.0,615022.0,11.42
2018,Ida,12.0,375874,2874104,2855894,50425.0,402957.0,12.4
2018,Iowa,128.0,6444665,51691026,15646300,19935628.0,7842124.0,13.49
2018,Jackson,13.0,1088637,6985937,3169101,1833327.0,977025.0,12.1
2018,Jasper,28.0,1959379,16531370,2962354,15837360.0,3962328.0,21.43
2018,Jefferson,11.0,746432,4287688,1071119,3209285.0,811711.0,16.12
2018,Johnson,54.0,7731403,45971704,2725159,3138589.0,5595720.0,10.42
2018,Jones,13.0,990798,8042350,2106999,1716844.0,1034818.0,11.46
2018,Keokuk,7.0,359942,2716269,1470939,341929.0,323291.0,10.51
2018,Kossuth,18.0,787186,6876657,8840346,482673.0,819781.0,10.7
2018,Lee,20.0,1663580,10276627,1322140,703082.0,1088665.0,9.12
2018,Linn,94.0,14152821,86090590,13858223,13397983.0,11548990.0,11.52
2018,Louisa,8.0,468160,3835693,44199,819810.0,515164.0,11.97
2018,Lucas,8.0,389706,2681149,639457,2410636.0,438880.0,14.29
2018,Lyon,14.0,758399,4459486,2901636,564628.0,540847.0,10.37
2018,Madison,11.0,863601,8044826,19732217,2087294.0,1172202.0,13.16
2018,Mahaska,15.0,708862,9340559,1459362,2188574.0,1149111.0,11.43
2018,Marion,21.0,1713270,13120286,5000384,1603851.0,1797262.0,12.12
2018,Marshall,22.0,2490273,12701161,2226148,2373206.0,1572638.0,10.35
2018,Mills,10.0,624194,5099491,1893064,724895.0,597159.0,10.43
2018,Mitchell,9.0,619259,3550147,412076,425693.0,484768.0,11.63
2018,Monona,11.0,920279,5192836,1576166,2818662.0,905224.0,14.81
2018,Monroe,5.0,349645,3306179,85329,466799.0,404515.0,11.06
2018,Montgomery,9.0,628268,3962431,2705684,538846.0,538011.0,11.72
2018,Muscatine,15.0,1575509,12754660,430340,939123.0,1600935.0,11.17
2018,OBrien,16.0,789270,5471812,1541373,225751.0,612226.0,9.78
2018,Osceola,8.0,227979,2420485,3214234,62635.0,296433.0,11.19
2018,Other,7.0,562548,2519137,989223,236438.0,288481.0,9.36
2018,Page,6.0,374977,4699375,951681,677833.0,555940.0,10.96
2018,Palo Alto,10.0,599581,3123112,2372180,96945.0,384040.0,10.32
2018,Plymouth,16.0,2493039,10452671,13910498,1964929.0,1335317.0,10.31
2018,Pocahontas,9.0,329485,2687541,6682556,65087.0,304671.0,10.1
2018,Polk,191.0,34079471,196268737,25459401,42241981.0,28059217.0,12.18
2018,Pottawattamie,57.0,8406046,54468006,11100747,50957955.0,13284293.0,21.13
2018,Poweshiek,21.0,1600909,12737139,3236216,21058988.0,4800251.0,33.48
2018,Ringgold,6.0,139508,1245228,425642,483123.0,206798.0,14.93
2018,Sac,15.0,510870,4645797,1587676,1080938.0,631644.0,12.25
2018,Scott,91.0,6012589,88505697,5086030,57367695.0,17721447.0,18.75
2018,Shelby,14.0,485963,4567431,2351336,1254734.0,594968.0,11.77
2018,Sioux,22.0,1965425,8620739,8010066,1000639.0,1013748.0,9.58
2018,Story,42.0,4717073,34832274,1112230,3592248.0,4213724.0,10.65
2018,Tama,17.0,789638,6753530,3312459,1371491.0,936155.0,12.41
2018,Taylor,8.0,203647,1774519,911797,118019.0,200961.0,10.16
2018,Union,14.0,551005,5230335,1304314,962373.0,641874.0,11.1
2018,Van Buren,5.0,149550,1149460,679061,152471.0,127048.0,9.78
2018,Wapello,24.0,1966433,14573697,421869,3518438.0,2102485.0,12.71
2018,Warren,29.0,2816295,20638248,1155881,2359609.0,2465148.0,10.51
2018,Washington,14.0,1674515,6558716,3801356,1787961.0,940757.0,11.43
2018,Wayne,9.0,445181,2009152,1097592,1293916.0,278996.0,11.37
2018,Webster,31.0,1680376,16242192,2716271,1670269.0,2012272.0,11.23
2018,Winnebago,16.0,522486,4051596,1861450,490572.0,533429.0,11.66
2018,Winneshiek,19.0,1236465,8840117,7530865,1483148.0,1242830.0,12.33
2018,Woodbury,52.0,7929896,39579123,9110235,18859807.0,7160159.0,15.07
2018,Worth,8.0,415913,4499214,626643,1492187.0,654777.0,13.32
2018,Wright,19.0,797856,5320144,2778150,500745.0,594705.0,9.72
2019,Adair,19.0,1514877,7373322,2887239,4369693.0,1435742.0,16.15
2019,Allamakee,14.0,1034342,5449497,3043798,1348849.0,787032.0,12.14
2019,Appanoose,14.0,609674,4878961,1699712,471242.0,627099.0,11.43
2019,Audubon,7.0,218790,2233214,2031189,1000991.0,415575.0,16.95
2019,Benton,20.0,1128172,8651617,3256430,1920041.0,1196079.0,12.23
2019,Black Hawk,70.0,8435653,48668188,2389641,15362828.0,7819858.0,13.69
2019,Boone,11.0,909637,7439454,2666198,4210644.0,994294.0,11.91
2019,Bremer,16.0,2047046,9257307,1351028,2126179.0,1386686.0,12.27
2019,Buchanan,17.0,1436454,8344069,1665498,1279091.0,1034218.0,10.57
2019,Buena Vista,26.0,1170763,8463945,3657702,1623560.0,1146731.0,11.9
2019,Butler,14.0,959353,5625105,3167816,1098663.0,778734.0,11.83
2019,Calhoun,14.0,345268,4697230,560285,5621262.0,1029911.0,20.42
2019,Carroll,28.0,1395926,9377142,12025571,676922.0,1168755.0,10.85
2019,Cass,15.0,850691,7053012,4690040,938766.0,849959.0,10.75
2019,Cedar,17.0,1495529,12035450,6420562,8376303.0,2562524.0,18.94
2019,Cerro Gordo,27.0,4510900,25753632,11810230,14779193.0,5159753.0,17.05
2019,Cherokee,15.0,632394,4522054,3723490,141467.0,526181.0,10.21
2019,Chickasaw,12.0,1375316,5899355,4898456,3674367.0,1071028.0,14.72
2019,Clarke,11.0,1313684,6927645,1495674,9237860.0,2095009.0,25.42
2019,Clay,23.0,988893,5733043,2666033,818397.0,730030.0,10.86
2019,Clayton,20.0,1235335,6863799,438963,1635414.0,1033151.0,12.76
2019,Clinton,27.0,1855636,21013880,4275572,3924597.0,2998492.0,13.11
2019,Crawford,11.0,685662,4696866,2372882,1159399.0,587729.0,10.92
2019,Dallas,38.0,5663862,33949381,6856383,8349685.0,5143083.0,12.98
2019,Decatur,5.0,462175,2536538,122024,329662.0,335839.0,11.2
2019,Delaware,20.0,1348578,6620870,4695797,998075.0,872225.0,10.94
2019,Des Moines,18.0,1447006,13638512,851663,221624.0,1534935.0,10.17
2019,Dickinson,24.0,1831118,8285092,1073380,347562.0,929660.0,9.19
2019,Dubuque,59.0,11244029,74845999,8384798,21090539.0,9458252.0,10.99
2019,Emmet,9.0,340927,3201126,282494,218717.0,366322.0,10.34
2019,Fayette,16.0,747115,5881695,131786,605944.0,679316.0,10.25
2019,Floyd,13.0,2032570,6339707,2818755,10510053.0,2084714.0,24.9
2019,Franklin,13.0,505262,5454073,4464148,1292645.0,860627.0,14.44
2019,Fremont,7.0,322517,4824297,1368121,8444894.0,1772765.0,34.44
2019,Greene,10.0,260879,3963340,388218,2363577.0,603951.0,14.3
2019,Grundy,14.0,510325,5203058,6115775,2020936.0,821789.0,14.38
2019,Guthrie,12.0,436272,4927800,943644,7596158.0,1603659.0,29.9
2019,Hamilton,15.0,2031489,6494904,1421414,9130096.0,2088425.0,24.49
2019,Hancock,7.0,444247,3838558,1020488,1562677.0,679320.0,15.86
2019,Hardin,23.0,1415307,11239565,5891884,2383633.0,1801900.0,14.24
2019,Harrison,14.0,888667,6451811,3977044,3743074.0,1057604.0,14.41
2019,Henry,8.0,589130,7968021,550501,5817135.0,1625663.0,19.0
2019,Howard,8.0,722237,3690990,1736352,1412386.0,561132.0,12.71
2019,Humboldt,12.0,737723,4618018,4896370,388171.0,546819.0,10.21
2019,Ida,11.0,575713,3308569,3084821,253204.0,451734.0,11.63
2019,Iowa,105.0,5392393,40899738,19821570,13682896.0,5799884.0,12.53
2019,Jackson,13.0,1044209,6966735,347398,2327083.0,1145409.0,14.3
2019,Jasper,27.0,2025186,16750397,2718514,16317667.0,4201497.0,22.38
2019,Jefferson,16.0,843500,5104688,1269128,1240398.0,702516.0,11.81
2019,Johnson,57.0,9947296,49047629,8595812,1511062.0,5558299.0,9.42
2019,Jones,10.0,734378,6420338,1843382,735953.0,744439.0,10.4
2019,Keokuk,7.0,337037,2847667,1475707,382469.0,343902.0,10.8
2019,Kossuth,12.0,427936,4679543,2248898,423522.0,566717.0,11.1
2019,Lee,17.0,1624505,9987312,1308646,578829.0,1054171.0,9.08
2019,Linn,91.0,12993565,81690866,9578841,11416944.0,11073503.0,11.7
2019,Louisa,8.0,470974,3700955,729835,703001.0,482508.0,11.57
2019,Lucas,7.0,432845,2566601,663107,4230789.0,530457.0,17.69
2019,Lyon,13.0,862855,4506353,3184119,580751.0,533196.0,9.93
